date,is_tradeday,next_td
2016-10-17,True,2016-10-18
2016-10-18,True,2016-10-19
2016-10-19,True,2016-10-20
2016-10-20,True,2016-10-21
2016-10-21,True,2016-10-24
2016-10-22,False,
2016-10-23,False,
2016-10-24,True,2016-10-25
2016-10-25,True,2016-10-26
2016-10-26,True,2016-10-27
2016-10-27,True,2016-10-28
2016-10-28,True,2016-10-31
2016-10-29,False,
2016-10-30,False,
2016-10-31,True,2016-11-01
2016-11-01,True,2016-11-02
2016-11-02,True,2016-11-03
2016-11-03,True,2016-11-04
2016-11-04,True,2016-11-07
2016-11-05,False,
2016-11-06,False,
2016-11-07,True,2016-11-08
2016-11-08,True,2016-11-09
2016-11-09,True,2016-11-10
2016-11-10,True,2016-11-11
2016-11-11,True,2016-11-14
2016-11-12,False,
2016-11-13,False,
2016-11-14,True,2016-11-15
2016-11-15,True,2016-11-16
2016-11-16,True,2016-11-17
2016-11-17,True,2016-11-18
2016-11-18,True,2016-11-21
2016-11-19,False,
2016-11-20,False,
2016-11-21,True,2016-11-22
2016-11-22,True,2016-11-23
2016-11-23,True,2016-11-24
2016-11-24,True,2016-11-25
2016-11-25,True,2016-11-28
2016-11-26,False,
2016-11-27,False,
2016-11-28,True,2016-11-29
2016-11-29,True,2016-11-30
2016-11-30,True,2016-12-01
2016-12-01,True,2016-12-02
2016-12-02,True,2016-12-05
2016-12-03,False,
2016-12-04,False,
2016-12-05,True,2016-12-06
2016-12-06,True,2016-12-07
2016-12-07,True,2016-12-08
2016-12-08,True,2016-12-09
2016-12-09,True,2016-12-12
2016-12-10,False,
2016-12-11,False,
2016-12-12,True,2016-12-13
2016-12-13,True,2016-12-14
2016-12-14,True,2016-12-15
2016-12-15,True,2016-12-16
2016-12-16,True,2016-12-19
2016-12-17,False,
2016-12-18,False,
2016-12-19,True,2016-12-20
2016-12-20,True,2016-12-21
2016-12-21,True,2016-12-22
2016-12-22,True,2016-12-23
2016-12-23,True,2016-12-26
2016-12-24,False,
2016-12-25,False,
2016-12-26,True,2016-12-27
2016-12-27,True,2016-12-28
2016-12-28,True,2016-12-29
2016-12-29,True,2016-12-30
2016-12-30,True,2017-01-02
2016-12-31,False,
2017-01-01,False,
2017-01-02,True,2017-01-03
2017-01-03,True,2017-01-04
2017-01-04,True,2017-01-05
2017-01-05,True,2017-01-06
2017-01-06,True,2017-01-09
2017-01-07,False,
2017-01-08,False,
2017-01-09,True,2017-01-10
2017-01-10,True,
